,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.37,0.24,0.01,0.6,0.29,0.33,0.11,0.28,0.0,0.07
fulguro.csv,0.69,0.05,0.56,0.11,0.6,0.17,0.23,0.0,0.44,0.36
fw4spl.csv,0.35,0.19,0.47,0.32,0.64,0.23,0.35,0.39,0.26,0.19
google-web-toolkit.csv,0.64,0.22,0.39,0.29,0.39,0.47,0.26,0.7,0.46,0.25
jstock.csv,0.52,0.22,0.41,0.3,0.37,0.43,0.32,0.51,0.69,0.19
ldview.csv,0.53,0.24,0.6,0.31,0.62,0.64,0.26,0.62,0.51,0.24
nuttx.csv,0.24,0.12,0.76,0.13,0.37,0.51,0.27,0.34,0.36,0.07
utgb.csv,0.08,0.19,0.39,0.32,0.74,0.2,0.32,0.32,0.2,0.17
vdsf.csv,0.69,0.27,0.72,0.44,0.68,0.49,0.11,0.62,0.27,0.25
xbrlapi.csv,0.74,0.0,0.01,0.22,0.58,0.08,0.17,0.48,0.35,0.38
