,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.22,0.04,0.83,0.23,0.0,0.34
chaperon.csv,0.21,0.15,0.42,0.12,0.75,0.28
mule.csv,0.43,0.03,0.28,0.25,0.0,0.47
nunit.csv,0.16,0.28,0.37,0.19,0.0,0.27
springside.csv,0.51,0.26,0.6,0.71,0.25,0.38
swtfox.csv,0.38,0.77,0.23,0.38,0.75,0.33
