,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.1,0.5,0.19,0.31,0.18,0.97,0.26,0.21,0.11,0.15,0.33
bdbbasic.csv,0.74,0.82,0.88,0.49,0.5,0.78,0.95,0.81,0.48,0.55,1.0
bibletime.csv,0.84,0.91,0.75,0.72,0.64,0.81,0.68,0.7,0.66,1.0,1.0
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
etherboot.csv,0.52,0.36,0.12,0.41,0.95,0.19,0.58,0.3,0.4,0.29,0.33
gnukeda.csv,0.42,0.77,0.75,1.0,0.82,0.46,0.58,0.81,0.41,0.71,0.67
google-gears.csv,0.94,0.64,0.44,0.79,0.82,0.95,0.79,0.68,0.99,0.88,0.33
jnode.csv,0.0,0.0,0.62,0.03,0.0,0.0,0.05,0.0,0.03,0.0,0.0
openmeetings.csv,0.23,0.95,0.25,0.15,0.14,0.32,0.21,0.4,0.15,0.15,0.33
pgui.csv,0.32,0.5,0.25,0.31,0.27,0.32,0.37,0.96,0.25,0.5,0.33
wxcrp.csv,0.9,0.5,0.88,0.18,0.14,0.54,0.21,0.77,0.24,0.12,1.0
