,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.15,0.45,0.06,0.42,0.23,0.99,0.36,0.31,0.2,0.26,0.12
bdbbasic.csv,0.55,0.44,0.14,0.57,0.37,0.57,0.97,0.49,0.62,0.68,0.1
bibletime.csv,0.42,0.31,0.07,0.69,0.36,0.56,0.54,0.48,0.71,1.0,0.06
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
etherboot.csv,0.36,0.23,0.05,0.48,0.98,0.24,0.51,0.36,0.54,0.43,0.06
gnukeda.csv,0.34,0.28,0.09,0.99,0.42,0.45,0.42,0.47,0.55,0.79,0.05
google-gears.csv,0.47,0.36,0.11,0.65,0.43,0.47,0.52,0.4,0.99,0.86,0.04
jnode.csv,0.0,0.0,0.77,0.05,0.0,0.0,0.1,0.0,0.05,0.0,0.0
openmeetings.csv,0.31,0.98,0.12,0.27,0.19,0.39,0.35,0.46,0.24,0.26,0.07
pgui.csv,0.31,0.2,0.09,0.44,0.24,0.35,0.47,0.98,0.38,0.62,0.06
wxcrp.csv,0.95,0.37,0.11,0.29,0.16,0.49,0.33,0.44,0.37,0.22,0.07
