,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.08,0.12,0.21,0.19,0.15,0.0,0.08,0.07,0.03,0.07,0.11
bdbbasic.csv,0.39,0.31,0.44,0.28,0.44,0.44,0.0,0.57,0.22,0.29,0.48
bibletime.csv,0.88,0.66,0.84,0.44,0.69,0.5,0.33,0.47,0.65,0.0,0.82
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etherboot.csv,0.57,0.31,0.14,0.34,0.0,0.19,0.27,0.13,0.3,0.29,0.25
gnukeda.csv,0.44,0.62,0.57,0.03,0.75,0.28,0.45,0.62,0.22,0.43,0.64
google-gears.csv,0.85,0.31,0.27,0.78,0.7,0.96,0.49,0.68,0.05,0.79,0.46
jnode.csv,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
openmeetings.csv,0.09,0.0,0.12,0.0,0.1,0.16,0.0,0.13,0.14,0.07,0.21
pgui.csv,0.32,0.57,0.17,0.09,0.38,0.25,0.08,0.0,0.16,0.5,0.28
wxcrp.csv,0.0,0.19,0.55,0.09,0.2,0.3,0.02,0.67,0.19,0.0,0.75
