,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.5,0.09,0.39,0.12,0.13,0.55,0.97,0.39,0.59,0.39,0.13,0.25,0.0,0.13,0.21,0.06,0.49
blue-c.csv,0.28,0.63,0.35,1.0,0.43,0.41,0.67,0.47,0.48,0.56,0.43,0.49,0.21,0.54,0.55,0.62,0.63
factor.csv,0.0,0.0,0.0,0.04,0.13,0.0,0.05,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.13,0.98
fltk.csv,0.52,0.98,0.17,0.38,0.49,0.44,0.43,0.25,0.6,0.53,0.42,0.09,0.31,0.5,0.35,0.51,0.15
free-evolution.csv,0.29,0.36,0.22,0.57,0.13,0.16,0.05,0.25,0.29,0.55,0.42,0.4,0.11,0.45,1.0,0.49,0.43
icescrum.csv,0.35,0.38,0.26,0.35,0.13,0.76,0.6,0.4,0.55,0.49,0.53,0.4,0.31,0.56,0.25,0.99,0.26
jbasic.csv,0.12,0.48,0.09,0.55,0.13,1.0,0.36,0.34,0.22,0.47,0.32,0.0,0.31,0.35,0.49,0.25,0.06
kvs.csv,0.96,0.36,0.22,0.3,0.26,0.13,0.1,0.0,0.29,0.59,0.53,0.21,0.4,0.69,0.18,0.36,0.14
monetdb.csv,0.4,0.48,0.19,0.35,0.13,0.23,0.35,0.39,0.39,0.46,0.95,0.25,0.39,0.61,0.34,0.61,0.41
phet.csv,0.06,0.11,0.93,0.22,0.52,0.55,0.47,0.5,0.15,0.0,0.16,0.25,0.31,0.1,0.21,0.48,0.35
projecteqemu.csv,0.06,0.16,0.04,0.0,0.0,0.2,0.05,0.57,0.07,0.23,0.37,0.17,0.11,0.93,0.18,0.0,0.2
repositorium.csv,0.29,0.31,0.47,0.12,0.26,0.28,0.36,0.4,0.29,0.26,0.27,0.62,1.0,0.48,0.31,0.51,0.32
smarttag.csv,0.44,0.49,0.19,0.72,0.59,0.37,0.31,0.82,0.0,0.3,0.41,0.29,0.4,0.42,0.4,0.73,0.5
sumatrapdf.csv,0.57,0.6,0.51,0.72,0.68,0.6,0.44,0.41,0.43,1.0,0.67,0.52,0.69,0.53,0.68,0.24,0.71
voms.csv,0.06,0.09,0.05,0.0,1.0,0.1,0.1,0.0,0.0,0.19,0.07,0.05,0.0,0.07,0.0,0.37,0.0
vrjuggler.csv,0.39,0.23,0.17,0.18,0.26,0.4,0.0,0.0,0.9,0.16,0.02,0.21,0.3,0.2,0.39,0.54,0.48
wheat.csv,0.29,0.25,0.16,0.2,0.25,0.24,0.4,0.24,0.6,0.55,0.56,0.97,0.58,0.53,0.4,0.25,0.26
