,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
53,2,1,1,1,2,2,2,1,mclient-mume.csv
48,3,1,1,2,1,4,4,6,jatlas.csv
46,4,6,4,9,5,3,15,18,beast-mcmc.csv
54,5,3,2,4,2,1,5,5,twostep.csv
21,6,4,2,5,10,8,17,18,autofac.csv
16,7,3,9,15,2,1,9,14,ngl.csv
25,8,1,1,2,4,7,10,11,jmoney.csv
14,9,0,1,2,0,2,3,4,jgnash.csv
15,11,0,1,1,0,1,1,0,atunes.csv
49,12,1,1,1,1,1,1,2,columba.csv
55,14,2,2,2,2,1,3,2,amanda.csv
47,15,3,3,6,4,5,11,11,zealos.csv
18,16,0,1,1,3,9,10,10,openmeetings.csv
23,17,3,3,5,4,2,6,8,psycle.csv
13,18,1,2,4,0,2,5,6,dataobjectsdotnet.csv
24,19,1,1,2,1,0,3,2,lmms.csv
12,20,0,1,3,0,1,3,3,simplewebservices.csv
26,21,7,4,8,6,5,9,14,les-indemodables.csv
56,22,6,6,8,7,10,16,16,playerstage.csv
45,23,2,2,4,3,3,5,5,arcallians.csv
22,28,2,1,3,1,0,6,5,bochs.csv
17,29,0,0,0,1,2,4,3,lamp.csv
36,30,5,2,7,7,3,10,15,hydrate.csv
31,31,0,1,1,7,13,12,12,mediaportal.csv
5,32,3,2,5,9,8,14,17,geogebra.csv
11,34,2,4,7,4,4,5,11,heekscad.csv
6,35,3,2,7,2,1,1,8,mob-sen-plat.csv
30,36,8,8,12,5,8,13,17,img-browse-sort.csv
37,37,4,3,6,7,10,12,18,bullet.csv
29,38,4,2,4,5,5,3,7,open-beos.csv
38,39,2,2,2,2,4,6,5,olap-navigator.csv
51,40,3,2,5,5,6,2,14,owlib.csv
43,41,0,3,4,1,2,6,6,apolloplayer.csv
19,42,3,11,14,3,2,7,16,yield.csv
28,43,2,4,5,1,4,7,9,skia.csv
27,44,9,7,13,11,7,16,18,openfrag.csv
20,45,5,4,4,10,17,19,18,etics.csv
42,46,0,2,5,1,1,7,9,ldview.csv
52,47,5,8,11,6,6,6,15,mscore.csv
44,48,4,4,6,7,9,7,13,n2cms.csv
50,49,1,2,2,1,2,2,3,selenium.csv
3,50,0,0,3,1,3,5,5,reactos-mirror.csv
8,51,3,8,8,4,8,10,12,grafx2.csv
35,53,5,4,8,7,5,11,12,xcmetadataservicestoolkit.csv
34,54,1,2,5,1,5,5,11,powerfolder-.csv
39,55,7,4,16,7,1,7,16,xharbour.csv
7,56,0,0,0,2,6,7,6,jvcl.csv
4,57,1,1,3,2,2,8,8,projectts.csv
9,58,4,3,12,4,4,14,18,xuggle.csv
1,59,3,1,4,2,1,5,4,roolo.csv
10,60,1,3,3,5,7,7,9,theresa.csv
0,61,6,3,8,5,3,10,10,unicase.csv
33,62,5,5,8,8,7,9,17,glas.csv
40,63,2,3,5,2,3,6,6,elvishrayrenderer.csv
41,64,0,3,5,0,6,8,12,opensim4opencog.csv
32,65,0,1,2,0,0,2,1,tradelink.csv
2,66,3,6,9,4,3,9,12,free-evolution.csv
