,f1,g,recall,precision,pf,cdom,bellwether
1,0.735,0.53,0.44,0.46499999999999997,0.46,7.0,beast-mcmc.csv
10,0.745,0.6100000000000001,0.39,0.495,0.495,1.0,atunes.csv
13,0.435,0.56,0.485,0.495,0.48,9.0,openmeetings.csv
27,0.7,0.5449999999999999,0.44,0.43,0.48,4.0,bochs.csv
33,0.65,0.5549999999999999,0.545,0.48,0.46,17.0,heekscad.csv
52,0.71,0.515,0.385,0.43,0.46,13.0,xharbour.csv
24,0.8200000000000001,0.5900000000000001,0.465,0.5,0.5,1.0,magicwars.csv
25,0.56,0.49,0.41,0.41,0.49,2.0,esmf.csv
26,0.74,0.615,0.49,0.515,0.54,0.0,xmemcached.csv
