,avifile.csv,pokeglobal.csv,gogoego.csv,patterntesting.csv,fluidium.csv,qtwin.csv,httpcontentparser.csv
avifile.csv,0.96,0.15,0.44,0.54,0.46,0.19,0.17
fluidium.csv,0.0,0.02,0.15,0.04,0.66,0.0,0.0
gogoego.csv,0.0,0.6,0.55,0.6,0.0,0.9,0.48
httpcontentparser.csv,0.22,0.54,0.56,0.2,0.0,0.57,0.79
patterntesting.csv,0.13,0.13,0.2,0.74,0.13,0.17,0.09
pokeglobal.csv,0.38,0.71,0.6,0.5,0.0,0.65,0.47
qtwin.csv,0.0,0.15,0.63,0.4,0.0,0.98,0.12
