,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,1.0,0.45,0.67,0.5,0.0,0.83,0.57,0.81,1.0,0.21
ibatisdb.csv,0.17,0.0,0.2,0.22,0.04,0.81,0.38,0.79,0.15,1.0
jmol.csv,0.24,0.09,0.18,0.24,0.04,1.0,0.62,0.75,0.26,0.23
liferea.csv,0.0,0.1,0.4,1.0,0.0,0.9,0.6,0.87,0.31,0.22
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.2,0.0,0.0,0.01,0.79,0.52,0.67,0.17,0.21
psrchive.csv,0.5,0.0,1.0,0.0,0.0,0.82,0.75,0.9,0.5,0.12
re2c.csv,0.08,1.0,0.44,0.14,0.05,0.8,0.56,0.49,0.17,0.0
tycho.csv,0.2,0.27,0.27,0.2,0.08,0.84,1.0,0.62,0.34,0.22
xfce.csv,0.17,0.1,0.2,0.35,0.01,0.85,0.52,0.99,0.23,0.36
