,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.34,0.42,0.33,0.35,0.39,0.36,0.35,0.45,0.46
chrysalis.csv,0.51,0.59,0.7,0.46,0.47,0.6,0.48,0.41,0.88
jahshaka.csv,0.93,0.83,0.84,0.64,0.88,0.67,0.8,0.6,0.94
jam-daq.csv,0.6,0.9,0.84,0.45,0.62,0.51,0.86,0.9,0.87
jatlas.csv,0.93,0.0,0.0,0.67,0.8,0.92,0.0,0.0,0.0
jedit.csv,0.48,0.56,0.5,0.34,0.52,0.38,0.58,0.61,0.38
open-media-library.csv,0.36,0.71,0.53,0.49,0.49,0.43,0.65,0.46,0.97
panda3d.csv,0.93,0.5,0.92,0.94,0.92,0.92,0.91,0.78,0.88
wheat.csv,0.55,0.7,0.42,0.92,0.68,0.56,0.54,0.66,0.96
