,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.14,0.0,0.32,0.13,0.23,0.63,0.06,0.23,0.76,0.52,0.21,0.19,0.71
badtrinity-zero.csv,0.13,0.36,0.67,0.61,0.32,0.49,0.47,0.72,0.54,0.29,0.58,0.61,0.46
betoffice.csv,0.37,0.2,0.24,0.45,0.6,0.36,0.4,0.37,0.62,0.51,0.34,0.32,0.09
exordium.csv,0.64,0.49,0.66,0.54,0.53,0.66,0.8,0.67,0.32,0.65,0.59,0.55,0.66
fltk.csv,0.68,0.25,0.47,0.68,0.16,0.58,0.75,0.64,0.26,0.82,0.58,0.34,0.56
gabel.csv,0.4,0.13,0.26,0.38,0.11,0.74,0.74,0.5,0.58,0.85,0.39,0.47,0.7
genoviz.csv,0.45,0.06,0.26,0.13,0.02,0.3,0.25,0.22,0.23,0.55,0.21,0.0,0.99
irrlicht.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0
nug.csv,0.73,0.06,0.23,0.06,0.46,0.5,0.45,0.22,0.73,0.73,0.34,0.63,0.58
rezilla.csv,0.29,0.6,0.58,0.32,0.41,0.2,0.34,0.33,0.32,0.15,0.44,0.39,0.22
toped.csv,0.62,0.29,0.56,0.52,0.51,0.24,0.59,0.85,0.4,0.3,0.61,0.45,0.38
xmemcached.csv,0.72,0.2,0.49,0.6,0.52,0.79,0.27,0.35,0.67,0.37,0.51,0.63,0.33
zoolib.csv,0.49,0.19,0.43,0.49,0.36,0.63,0.77,0.64,0.52,0.75,0.52,0.7,0.71
