,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.12,0.0,0.28,0.11,0.2,0.65,0.05,0.2,0.76,0.5,0.18,0.16,1.0
badtrinity-zero.csv,0.76,0.32,0.67,0.84,0.29,0.48,0.89,0.78,0.68,0.25,0.71,0.77,0.6
betoffice.csv,0.94,0.89,0.92,0.67,0.64,0.35,0.58,0.45,0.76,0.75,0.86,0.84,0.6
exordium.csv,0.88,0.47,0.71,0.52,0.53,0.91,0.84,0.9,0.28,0.75,0.64,0.94,0.8
fltk.csv,0.88,0.21,0.42,0.67,0.13,0.74,0.79,0.61,0.84,1.0,0.58,0.29,1.0
gabel.csv,0.35,0.11,0.22,0.33,0.09,0.74,0.74,0.47,0.56,0.88,0.35,0.42,0.8
genoviz.csv,0.41,0.05,0.22,0.11,0.02,0.26,0.21,0.18,0.2,0.5,0.18,0.0,1.0
irrlicht.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,1.0,1.0
nug.csv,0.71,0.05,0.2,0.05,0.47,0.48,0.42,0.2,0.84,0.75,0.3,0.71,0.6
rezilla.csv,0.88,0.58,0.81,0.29,0.38,0.17,0.32,0.65,0.28,0.12,0.43,0.45,0.2
toped.csv,1.0,0.84,0.66,0.91,0.49,0.91,0.89,0.82,0.76,1.0,0.73,0.42,1.0
xmemcached.csv,0.76,0.74,0.61,0.62,0.87,0.78,0.95,0.75,0.8,0.88,0.72,0.87,1.0
zoolib.csv,0.47,0.16,0.39,0.44,0.33,0.74,0.84,0.67,0.84,0.75,0.49,0.68,0.8
