,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.03,0.03,0.0,0.03,0.02,0.01,0.05,0.17,0.02,0.0
coot.csv,0.75,0.44,0.39,0.06,0.61,0.31,0.71,0.77,0.0,0.38
haggle.csv,0.03,0.39,0.41,0.21,0.38,0.06,0.18,0.63,0.07,0.43
ibatisdb.csv,0.03,0.58,0.12,0.11,0.17,0.19,0.03,0.3,0.45,0.32
jas.csv,0.34,0.27,0.27,0.26,0.26,0.46,0.17,0.5,0.87,0.68
mesa3d.csv,0.06,0.27,0.37,0.26,0.26,0.42,0.09,0.5,0.29,0.65
ngl.csv,0.75,0.87,0.9,0.39,0.85,0.32,0.58,0.9,0.2,0.57
pustefix.csv,0.03,0.27,0.29,0.35,0.18,0.34,0.79,0.33,0.57,0.46
scenemonitor.csv,0.16,0.18,0.32,0.13,0.16,0.29,0.56,0.4,0.06,0.3
wsmt.csv,0.53,0.16,0.12,0.1,0.48,0.08,0.51,0.17,0.03,0.11
