,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.9,1.0,0.93,0.03,0.94,1.0,1.0,0.79,0.94,1.0
coot.csv,0.81,0.9,0.72,0.67,0.81,0.62,0.95,0.82,1.0,0.45
haggle.csv,0.85,0.52,0.56,1.02,0.77,0.96,0.89,0.87,0.93,0.64
ibatisdb.csv,0.85,0.7,0.86,1.01,0.26,0.75,1.0,0.83,0.64,0.6
jas.csv,0.92,0.63,0.63,0.42,0.9,0.57,0.21,0.53,0.87,0.86
mesa3d.csv,0.85,0.51,0.63,0.26,0.85,0.59,0.88,0.87,0.57,0.7
ngl.csv,0.76,0.87,0.9,0.51,1.01,0.48,0.63,0.9,0.76,0.58
pustefix.csv,0.85,0.51,0.76,0.76,0.93,0.77,0.88,0.69,0.63,0.82
scenemonitor.csv,0.25,0.84,0.81,0.68,0.85,0.63,0.61,0.92,0.86,0.88
wsmt.csv,0.7,0.88,0.91,0.67,0.94,0.8,0.81,0.28,0.97,0.93
