,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.17,0.0,0.13,0.75,0.1,0.0,0.0,0.33,0.1,0.0
coot.csv,0.48,0.18,0.49,0.25,0.29,0.53,0.06,0.6,0.0,0.71
haggle.csv,0.25,0.48,0.67,0.0,0.27,0.07,0.07,0.41,0.11,0.55
ibatisdb.csv,0.25,0.38,0.24,0.0,0.7,0.39,0.0,0.31,0.34,0.56
jas.csv,0.18,0.4,0.55,0.19,0.15,0.65,0.4,0.73,0.35,0.45
mesa3d.csv,0.24,0.49,0.58,0.27,0.2,0.6,0.11,0.33,0.39,0.62
ngl.csv,0.56,0.46,0.78,0.14,0.23,0.67,0.15,0.72,0.26,0.73
pustefix.csv,0.25,0.49,0.41,0.08,0.1,0.39,0.09,0.47,0.39,0.37
scenemonitor.csv,0.78,0.21,0.36,0.17,0.2,0.53,0.15,0.23,0.21,0.24
wsmt.csv,0.46,0.17,0.16,0.2,0.15,0.33,0.08,0.81,0.05,0.13
