,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.67,0.5,0.8,0.8,0.75,0.5,0.83,0.77,0.89,0.0
coot.csv,0.39,0.91,0.49,0.8,0.7,0.51,0.6,0.44,0.0,0.41
haggle.csv,0.75,0.44,0.43,0.92,0.42,0.95,0.64,0.39,0.95,0.41
ibatisdb.csv,0.75,0.46,0.94,0.86,0.64,0.75,0.67,0.59,0.48,0.47
jas.csv,0.93,0.7,0.47,0.61,0.97,0.48,0.7,0.48,0.46,0.59
mesa3d.csv,0.8,0.63,0.47,0.58,0.82,0.47,0.91,0.56,0.49,0.43
ngl.csv,0.32,0.39,0.48,0.54,0.47,0.48,0.46,0.34,0.74,0.5
pustefix.csv,0.75,0.63,0.88,0.74,0.95,0.76,0.44,0.62,0.52,0.63
scenemonitor.csv,0.48,0.73,0.59,0.89,0.83,0.52,0.46,0.56,0.96,0.78
wsmt.csv,0.5,0.92,0.92,0.86,0.75,0.98,0.76,0.62,0.9,0.86
