,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.21,0.37,0.57,0.13,0.16,0.09,0.06,0.15,0.0
flylegacy.csv,0.56,0.44,0.69,0.58,0.54,0.48,0.53,0.28,0.3,0.55
jguard.csv,0.45,0.31,0.59,0.6,0.39,0.66,0.09,0.67,0.21,0.6
m-a-d-n-e-s-s.csv,0.24,0.04,0.28,0.19,0.1,0.0,0.0,0.16,0.71,0.0
mob-sen-plat.csv,0.58,0.78,0.65,0.37,0.55,0.51,0.56,0.52,0.75,0.57
raygina.csv,0.69,0.0,0.44,0.38,0.17,0.31,0.33,0.3,0.49,0.43
st-filteredstatistics.csv,0.21,0.56,0.32,0.41,0.58,0.57,0.0,0.85,0.55,0.13
upp-mirror.csv,0.39,0.11,0.63,0.66,0.67,0.61,0.25,0.31,0.62,0.14
wishmaster.csv,0.32,0.11,0.47,0.47,0.62,0.5,0.7,0.12,0.52,0.35
yarp.csv,0.37,0.04,0.45,0.11,0.0,0.33,0.25,0.1,0.32,0.58
