,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,98.5,96.5,197.5,97.5,195.5,290.5,93.5,581.0,392.5,197.5,22869.0,99.0,99.0,484.5,192.0
encog-cs.csv,98.5,99.0,99.0,98.5,196.0,290.5,96.5,582.5,391.0,256.5,50496.0,96.5,99.0,1131.5,94.5
extprosys.csv,98.5,96.5,198.0,197.5,294.0,192.0,190.0,680.0,392.5,296.5,25121.5,98.5,99.0,487.5,192.0
ibatisdb.csv,98.5,99.0,99.0,73.5,90.5,192.0,96.5,290.5,292.5,513.0,13187.5,88.5,186.0,514.0,94.5
intact.csv,98.5,99.0,99.0,197.5,294.0,286.5,96.5,290.5,490.0,296.5,33379.5,180.0,99.0,484.5,192.0
japano.csv,4226.0,99.0,99.0,196.5,295.0,194.0,96.5,289.5,490.0,296.5,52325.5,99.0,99.0,289.5,182.0
lockss.csv,98.5,93.5,96.5,55.5,79.5,497.5,78.5,287.5,195.0,264.5,12000.0,180.0,99.0,386.0,192.0
ofbiz.csv,3932.0,93.5,198.0,197.5,195.5,282.5,93.5,190.0,391.0,94.5,36246.0,97.5,99.0,387.0,94.5
officefloor.csv,98.5,59.5,193.5,197.5,96.5,290.5,62.5,384.0,292.5,1074.5,16400.5,230.0,97.5,484.5,192.0
opennms.csv,98.5,93.5,89.5,94.5,95.5,94.5,96.5,93.5,293.5,98.5,6954.0,98.5,96.5,290.5,10.5
rohxel.csv,98.5,93.5,193.0,95.5,92.5,283.5,96.5,94.5,374.0,233.5,3571.0,180.0,96.5,447.5,48.5
roolo.csv,3504.0,99.0,198.0,98.5,295.0,290.5,93.5,191.0,195.0,296.5,46110.0,99.0,99.0,292.5,182.0
sevenupdate.csv,98.5,99.0,198.0,197.5,295.0,290.5,96.5,680.0,391.5,197.5,53520.0,99.0,99.0,584.0,192.0
web-cat.csv,98.5,99.0,99.0,98.5,295.0,290.5,96.5,679.0,490.0,296.5,45863.0,98.5,99.0,584.0,94.5
