,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,1.0,0.73,0.57,0.86,0.54,0.47,0.51,0.69,0.8,0.95,0.71,0.9,0.67,0.36,0.42
encog-cs.csv,1.0,0.51,0.64,0.7,0.82,0.93,0.92,0.77,0.68,0.09,0.68,0.6,0.69,0.72,0.84
extprosys.csv,1.0,0.82,0.62,0.9,0.89,0.7,0.44,0.7,0.91,1.0,0.82,0.6,0.87,0.89,0.42
ibatisdb.csv,1.0,0.31,0.57,0.12,0.32,0.2,0.18,0.25,0.33,0.41,0.55,0.1,0.06,0.78,0.16
intact.csv,1.0,0.88,0.7,0.69,0.82,0.63,0.49,0.48,0.8,0.95,0.92,0.45,0.93,0.56,0.37
japano.csv,0.0,0.88,0.81,0.86,0.79,0.83,0.95,0.73,0.92,0.73,0.71,0.9,0.81,0.72,0.74
lockss.csv,1.0,0.31,0.17,0.09,0.18,0.17,0.33,0.39,0.21,0.68,0.66,0.2,0.32,0.33,0.37
ofbiz.csv,0.0,0.69,0.96,0.49,0.43,0.7,0.46,0.43,0.62,0.32,0.89,0.3,0.73,0.36,0.68
officefloor.csv,1.0,0.2,0.43,0.52,0.25,0.57,0.03,0.46,0.47,0.23,0.61,0.05,0.23,0.53,0.42
opennms.csv,1.0,0.35,0.08,0.14,0.71,0.23,0.59,0.12,0.32,0.45,0.32,0.45,0.42,0.19,0.0
rohxel.csv,1.0,0.39,0.4,0.2,0.14,0.3,0.67,0.26,0.29,0.18,0.05,0.4,0.04,0.11,0.05
roolo.csv,0.0,0.71,0.91,0.73,0.82,0.77,0.44,0.3,0.56,0.41,0.63,0.65,0.58,0.64,0.53
sevenupdate.csv,1.0,0.73,1.0,1.0,0.82,1.0,1.0,1.0,0.94,0.36,0.97,0.95,0.92,1.0,1.0
web-cat.csv,1.0,0.49,0.92,0.91,0.86,0.87,0.85,0.69,0.91,0.82,0.89,0.65,0.84,1.0,0.74
