,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.96,0.83,0.86,0.58,0.5,0.57,0.5,0.4,0.71,0.76,0.75,0.48,0.46
bscwweasel.csv,0.75,0.94,0.55,0.65,0.4,0.7,0.61,0.67,0.46,0.69,0.95,0.89,0.83
capcode.csv,0.83,0.51,0.48,0.5,0.48,0.67,0.53,0.93,0.78,0.89,0.41,0.58,0.73
emite.csv,0.41,0.42,0.6,0.71,0.41,0.62,0.62,0.35,0.96,0.83,0.89,0.44,0.53
extprosys.csv,0.27,0.38,0.52,0.55,0.37,0.57,0.4,0.5,0.44,0.37,0.46,0.45,0.41
lamp.csv,0.46,0.64,0.74,0.47,0.34,0.54,0.38,0.5,0.59,0.36,0.82,0.73,0.41
retromenu.csv,0.75,0.5,0.66,0.82,0.36,0.87,0.57,0.35,0.7,0.45,0.77,0.8,0.38
smbopensoft.csv,0.41,0.39,0.49,0.62,0.41,0.59,0.61,0.56,0.69,0.72,0.41,0.41,0.4
snakeyaml.csv,0.57,0.44,0.47,0.59,0.38,0.55,0.62,0.46,0.51,0.91,0.65,0.83,0.37
stuproa-cims.csv,0.95,0.67,0.62,0.5,0.36,0.0,0.61,0.41,0.67,0.5,0.79,0.73,0.67
ta3d.csv,0.0,0.0,0.71,0.67,0.4,0.75,0.59,0.37,0.71,0.38,0.88,0.63,0.43
thout.csv,0.35,0.4,0.56,0.95,0.42,0.47,0.37,0.5,0.35,0.36,0.43,0.43,0.48
vrjuggler.csv,0.3,0.52,0.73,0.52,0.66,0.75,0.86,0.0,0.93,0.58,0.91,0.79,0.83
