,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.15,0.1,0.37,0.18,0.35,0.4,0.27,0.59,0.39,0.12,0.09,0.59,0.63
bscwweasel.csv,0.06,0.13,0.43,0.44,0.51,0.34,0.29,0.0,0.4,0.35,0.3,0.24,0.24
capcode.csv,0.06,0.24,0.39,0.25,0.5,0.0,0.52,0.24,0.39,0.08,0.27,0.35,0.35
emite.csv,0.66,0.14,0.4,0.19,0.57,0.38,0.11,0.48,0.22,0.09,0.36,0.65,0.44
extprosys.csv,0.66,0.17,0.38,0.23,0.52,0.5,0.29,0.1,0.39,0.37,0.24,0.55,0.6
lamp.csv,0.48,0.36,0.43,0.24,0.47,0.41,0.23,0.48,0.47,0.36,0.31,0.26,0.81
retromenu.csv,0.06,0.23,0.47,0.29,0.73,0.29,0.11,0.55,0.24,0.16,0.39,0.43,0.59
smbopensoft.csv,0.81,0.18,0.37,0.2,0.47,0.32,0.14,0.49,0.27,0.2,0.25,0.61,0.75
snakeyaml.csv,0.65,0.19,0.4,0.23,0.59,0.41,0.16,0.52,0.28,0.15,0.46,0.16,0.65
stuproa-cims.csv,0.23,0.24,0.32,0.27,0.53,0.0,0.23,0.51,0.58,0.11,0.28,0.35,0.11
ta3d.csv,0.0,0.0,0.3,0.17,0.49,0.04,0.15,0.43,0.48,0.36,0.11,0.28,0.71
thout.csv,0.66,0.17,0.52,0.24,0.41,0.43,0.25,0.48,0.42,0.36,0.3,0.57,0.73
vrjuggler.csv,0.63,0.22,0.17,0.15,0.36,0.07,0.05,0.0,0.3,0.45,0.15,0.32,0.24
