,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,96.5,144.0,295.0,2038.5,745.0,198.0,96.5,95.5,197.5,723.5,98.5,98.5,194.5
bscwweasel.csv,96.5,186.0,197.5,192.0,375.0,197.5,96.5,57.5,296.0,888.5,98.5,98.5,79.5
capcode.csv,98.5,196.5,197.5,196.0,273.5,144.5,96.5,165.0,636.5,335.0,197.5,93.5,85.5
emite.csv,197.5,1027.5,98.5,192.0,551.0,198.0,192.0,193.0,293.5,230.0,196.5,98.5,95.5
extprosys.csv,197.5,196.0,197.5,294.5,188.0,99.0,292.5,72.5,296.0,1948.0,196.5,98.5,95.5
lamp.csv,98.5,192.0,98.5,384.0,756.0,197.5,195.0,99.0,97.5,2162.5,98.5,95.5,197.5
retromenu.csv,98.5,567.0,98.5,276.5,89.5,95.5,167.0,95.5,193.0,482.0,98.5,128.0,194.5
smbopensoft.csv,98.5,394.0,98.5,294.5,570.0,99.0,290.5,99.0,294.0,1120.0,197.5,95.5,197.5
snakeyaml.csv,98.5,194.5,197.5,387.0,272.5,99.0,94.5,99.0,293.5,385.0,194.5,95.5,95.5
stuproa-cims.csv,96.5,91.5,197.5,477.5,756.0,71.5,193.0,193.0,93.5,44.5,189.0,93.5,85.5
ta3d.csv,0.0,0.0,97.5,187.0,756.0,149.0,193.0,99.0,90.5,1468.0,90.5,93.5,194.5
thout.csv,98.5,394.0,382.0,178.0,558.0,198.0,292.5,99.0,395.0,2155.0,197.5,98.5,197.5
vrjuggler.csv,197.5,194.0,98.5,294.5,285.5,70.5,290.5,0.0,98.5,1166.5,196.5,95.5,82.5
