,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.89,0.64,0.71,0.43
k3b.csv,0.96,0.35,0.79,0.57
mp-rechnungs-und-kundenverwaltung.csv,1.0,0.78,0.55,0.78
thrust.csv,0.41,0.86,0.91,0.77
