,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.86,0.54,0.38,0.39
k3b.csv,0.39,0.43,0.35,0.33
mp-rechnungs-und-kundenverwaltung.csv,0.5,0.73,0.47,0.75
thrust.csv,0.76,0.93,0.97,0.82
