,scikit-learn,pip,jadx,android-Ultra-Pull-To-Refresh,AndroidViewAnimations,disruptor,BaseRecyclerViewAdapterHelper,LightTable,android,mobile-icon-resizer
AndroidViewAnimations,0.55,0.59,0.31,0.0,,0.43,0.74,0.49,0.59,0.63
BaseRecyclerViewAdapterHelper,0.35,0.45,0.17,0.0,0.35,0.25,,0.52,0.36,0.33
LightTable,0.4,0.47,0.19,0.0,0.47,0.29,0.34,,0.44,0.0
android,0.53,0.6,0.21,0.0,0.51,0.41,0.72,0.57,,0.43
disruptor,0.57,0.59,0.44,0.0,0.51,,0.66,0.54,0.57,0.34
jadx,0.58,0.6,,0.0,0.57,0.63,0.62,0.58,0.51,0.34
mobile-icon-resizer,0.36,0.44,0.21,0.0,0.4,0.23,0.54,0.46,0.23,
pip,0.38,,0.2,0.0,0.49,0.35,0.61,0.5,0.29,0.5
scikit-learn,,0.49,0.44,0.0,0.35,0.35,0.0,0.45,0.35,0.17
