,JiaoZiVideoPlayer,BaseRecyclerViewAdapterHelper,fresco,MaterialViewPager,mdanalysis,banner,AppIntro,canal,RxPermissions,jmxtrans,weka-3.8,vlayout,mobile-icon-resizer,motogp,Matisse,axios,Luban,bootstrap,logger,lottie-react-native,javascript,website,graphql-engine,flamingo,JCSprout,CircleImageView,Android-PickerView,android,postgres,entt,insolar,SlidingMenu,istio,ionic,zulip,uCrop,spark,HealthTime,Fragmentation,zipkin,Zilliqa,pip,raiden,yebash,mall,brmo,Android-PullToRefresh,thanos,tinker,epoxy,leakcanary,Android-CleanArchitecture,JDeodorant,LightTable,AndroidSwipeLayout,AndroidViewAnimations,RefactoringMiner,abinit,rasa_core,vue,disruptor,rchain,stetho,docker,FizzBuzzEnterpriseEdition,android-async-http,Aelf,SmartRefreshLayout,ViewPagerIndicator,AndroidSlidingUpPanel,websocketd,Calligraphy,core,ubiquity,flask,kbc-ui,holochain-rust,tetris_project,ZfcUser,iotivity,realm-java,HikariCP,nodejs.org,AnySoftKeyboard,iotjs,synfig,arthas,Signal-Android,Telegram,apollo,redisson,picasso,zxing,marko,kafka,android-fly-in-app-navigation,MaterialDesignLibrary,onnx,zsc,java-design-patterns,GSYVideoPlayer,FileDownloader,alfresco-android-app,Lean,rhino,Android-Universal-Image-Loader,sanitize-html,ant,ARouter,recyclerview-animators,crispy-doom,EventBus,greenDAO,symphony,dspot,react-native-navigation,android-Ultra-Pull-To-Refresh,hydrus,hadoop,FlycoTabLayout,MaterialDrawer,mongo,HomeMirror,Android-ObservableScrollView,storm,spoon,reicast-emulator,core-moos,butterknife,jquery,gson,PhotoView,mybatis-3,rasa_nlu,faster-rcnn.pytorch,javascript-algorithms,datadog-agent,BottomBar,testrepository,grin,kdcproxy,dinghy,fastjson,scikit-learn,jadx,PermissionsDispatcher,AVLoadingIndicatorView,wagtail,druid
ARouter,0.47,0.67,0.51,0.56,0.48,0.0,0.51,0.65,0.53,0.54,0.43,0.55,0.4,0.58,0.57,0.46,0.52,0.55,0.51,0.57,0.57,0.52,0.48,0.5,0.34,0.61,0.68,0.5,0.0,0.61,0.5,0.5,0.49,0.48,0.52,0.52,0.64,0.47,0.54,0.56,0.41,0.52,0.41,0.51,0.67,0.52,0.0,0.49,0.47,0.49,0.58,0.53,0.32,0.54,0.68,0.53,0.49,0.55,0.53,0.45,0.54,0.51,0.45,0.66,0.46,0.57,0.54,0.4,0.6,0.66,0.49,0.53,0.52,0.51,0.55,0.2,0.51,0.62,0.49,0.53,0.51,0.58,0.56,0.49,0.51,0.43,0.48,0.37,0.47,0.53,0.42,0.56,0.5,0.6,0.53,0.44,0.34,0.55,0.56,0.48,0.51,0.33,0.35,0.49,0.46,0.57,0.64,0.53,,0.55,0.42,0.53,0.47,0.28,0.32,0.49,0.0,0.47,0.0,0.33,0.33,0.5,0.48,0.49,0.41,0.38,0.49,0.4,0.61,0.42,0.43,0.49,0.4,0.53,0.57,0.51,0.46,0.52,0.4,0.48,0.56,0.53,0.36,0.51,0.35,0.65,0.57,0.46,0.37
AVLoadingIndicatorView,0.51,0.71,0.39,0.52,0.49,0.0,0.49,0.74,0.61,0.52,0.44,0.52,0.46,0.67,0.48,0.43,0.5,0.55,0.55,0.56,0.57,0.54,0.47,0.5,0.28,0.55,0.65,0.51,0.0,0.4,0.52,0.54,0.53,0.51,0.45,0.53,0.64,0.47,0.36,0.51,0.48,0.5,0.45,0.54,0.0,0.4,0.0,0.49,0.5,0.4,0.61,0.39,0.37,0.54,0.61,0.62,0.49,0.54,0.5,0.47,0.52,0.49,0.48,0.67,0.47,0.57,0.51,0.14,0.58,0.72,0.54,0.47,0.53,0.43,0.47,0.21,0.43,0.52,0.45,0.55,0.46,0.38,0.55,0.48,0.47,0.48,0.45,0.39,0.65,0.46,0.47,0.55,0.36,0.35,0.44,0.39,0.6,0.55,0.51,0.43,0.57,0.34,0.4,0.34,0.51,0.45,0.65,0.49,0.5,0.6,0.44,0.34,0.26,0.33,0.56,0.43,0.0,0.5,0.0,0.63,0.3,0.44,0.43,0.51,0.4,0.43,0.52,0.41,0.46,0.53,0.44,0.5,0.43,0.48,0.51,0.48,0.46,0.51,0.49,0.4,0.54,0.6,0.39,0.5,0.42,0.54,,0.46,0.41
Aelf,0.52,0.65,0.49,0.51,0.48,0.0,0.46,0.62,0.53,0.52,0.47,0.61,0.38,0.54,0.35,0.42,0.48,0.53,0.48,0.49,0.51,0.51,0.54,0.46,0.39,0.56,0.52,0.53,0.0,0.43,0.49,0.6,0.5,0.52,0.45,0.54,0.57,0.49,0.66,0.47,0.5,0.46,0.41,0.46,1.0,0.44,0.0,0.47,0.53,0.41,0.48,0.47,0.48,0.51,0.63,0.45,0.46,0.51,0.51,0.47,0.54,0.51,0.38,0.33,0.38,0.55,,0.49,0.49,0.57,0.53,0.47,0.55,0.5,0.48,0.43,0.5,0.57,0.43,0.56,0.53,0.29,0.5,0.43,0.49,0.49,0.45,0.48,0.7,0.46,0.47,0.49,0.44,0.38,0.53,0.34,0.26,0.55,0.55,0.48,0.49,0.43,0.47,0.45,0.51,0.5,0.58,0.46,0.47,0.48,0.45,0.58,0.57,0.41,0.48,0.46,0.0,0.54,0.0,0.44,0.43,0.36,0.49,0.53,0.41,0.48,0.48,0.51,0.44,0.56,0.45,0.56,0.43,0.51,0.53,0.42,0.47,0.54,0.46,0.47,0.51,0.46,0.49,0.49,0.45,0.52,0.52,0.43,0.5
Android-CleanArchitecture,0.55,0.67,0.53,0.52,0.51,0.0,0.5,0.72,0.49,0.57,0.55,0.6,0.27,0.57,0.63,0.5,0.47,0.58,0.55,0.39,0.27,0.48,0.57,0.46,0.65,0.47,0.31,0.51,0.0,0.4,0.54,0.45,0.52,0.44,0.51,0.57,0.5,0.6,0.53,0.43,0.53,0.55,0.51,0.37,1.0,0.47,0.0,0.49,0.55,0.41,0.57,,0.52,0.5,0.44,0.37,0.45,0.54,0.51,0.54,0.53,0.54,0.65,0.68,0.62,0.61,0.49,0.4,0.35,0.42,0.45,0.58,0.51,0.51,0.59,0.4,0.45,0.16,0.54,0.55,0.54,0.51,0.56,0.45,0.53,0.53,0.57,0.59,0.7,0.57,0.38,0.56,0.55,0.47,0.42,0.45,0.51,0.5,0.63,0.59,0.57,0.56,0.46,0.52,0.52,0.59,0.28,0.49,0.48,0.48,0.53,0.52,0.61,0.5,0.35,0.52,0.0,0.53,0.0,0.43,0.55,0.45,0.38,0.51,0.56,0.62,0.47,0.52,0.62,0.62,0.53,0.5,0.49,0.52,0.44,0.54,0.51,0.53,0.38,0.53,0.56,0.39,0.52,0.53,0.47,0.57,0.43,0.54,0.57
Android-ObservableScrollView,0.49,0.73,0.47,0.49,0.42,0.0,0.49,0.76,0.48,0.54,0.43,0.57,0.38,0.6,0.59,0.44,0.54,0.54,0.51,0.52,0.32,0.52,0.51,0.41,0.39,0.42,0.31,0.45,0.0,0.2,0.49,0.55,0.49,0.51,0.42,0.62,0.57,0.68,0.65,0.45,0.49,0.49,0.44,0.53,1.0,0.41,0.0,0.53,0.47,0.31,0.58,0.6,0.42,0.52,0.5,0.57,0.34,0.43,0.48,0.52,0.4,0.5,0.59,0.38,0.45,0.62,0.43,0.47,0.36,0.52,0.46,0.49,0.52,0.47,0.48,0.42,0.4,0.37,0.55,0.51,0.48,0.47,0.55,0.38,0.45,0.47,0.5,0.48,0.67,0.48,0.46,0.44,0.32,0.44,0.31,0.49,0.53,0.53,0.63,0.53,0.52,0.44,0.4,0.51,0.44,0.44,0.35,0.3,0.42,0.58,0.4,0.48,0.42,0.42,0.34,0.46,0.0,0.46,0.0,0.45,0.45,0.27,0.5,,0.5,0.55,0.47,0.47,0.33,0.59,0.52,0.5,0.44,0.49,0.47,0.49,0.43,0.55,0.44,0.42,0.61,0.41,0.47,0.45,0.59,0.49,0.51,0.38,0.51
Android-PickerView,0.42,0.66,0.53,0.55,0.46,0.0,0.52,0.5,0.56,0.55,0.41,0.63,0.31,0.59,0.5,0.49,0.39,0.5,0.49,0.54,0.57,0.54,0.55,0.31,0.44,0.55,,0.51,0.0,0.6,0.49,0.51,0.49,0.37,0.48,0.56,0.64,0.47,0.61,0.44,0.44,0.53,0.39,0.48,1.0,0.42,0.0,0.51,0.51,0.46,0.5,0.51,0.33,0.55,0.58,0.44,0.48,0.56,0.53,0.44,0.55,0.53,0.43,0.72,0.56,0.6,0.52,0.65,0.61,0.68,0.53,0.53,0.56,0.49,0.54,0.2,0.48,0.66,0.48,0.53,0.54,0.48,0.55,0.38,0.53,0.39,0.56,0.43,0.56,0.42,0.32,0.55,0.48,0.45,0.55,0.46,0.53,0.54,0.71,0.55,0.51,0.35,0.39,0.49,0.45,0.56,0.65,0.55,0.52,0.53,0.39,0.62,0.62,0.29,0.3,0.46,0.0,0.53,0.0,0.58,0.33,0.53,0.53,0.44,0.49,0.4,0.52,0.4,0.63,0.46,0.41,0.52,0.4,0.54,0.61,0.46,0.42,0.54,0.42,0.53,0.53,0.55,0.4,0.51,0.28,0.57,0.56,0.47,0.39
Android-Universal-Image-Loader,0.52,0.7,0.51,0.51,0.51,0.0,0.5,0.73,0.56,0.52,0.55,0.61,0.27,0.6,0.52,0.45,0.39,0.56,0.49,0.41,0.39,0.51,0.58,0.4,0.59,0.58,0.42,0.51,0.0,0.42,0.5,0.48,0.52,0.46,0.49,0.55,0.5,0.52,0.51,0.44,0.51,0.51,0.48,0.29,0.0,0.47,0.0,0.47,0.54,0.45,0.58,0.56,0.42,0.5,0.47,0.39,0.43,0.5,0.48,0.49,0.49,0.48,0.62,0.65,0.56,0.56,0.53,0.29,0.47,0.58,0.42,0.54,0.52,0.52,0.52,0.36,0.48,0.16,0.47,0.55,0.52,0.51,0.55,0.4,0.52,0.49,0.51,0.49,0.72,0.53,0.39,0.55,0.51,0.48,0.46,0.38,0.44,0.51,0.49,0.5,0.56,0.52,0.48,0.5,0.5,,0.44,0.49,0.54,0.46,0.46,0.47,0.59,0.36,0.36,0.53,0.0,0.51,0.0,0.5,0.51,0.46,0.47,0.47,0.52,0.58,0.52,0.53,0.6,0.59,0.49,0.51,0.49,0.51,0.4,0.46,0.5,0.51,0.43,0.51,0.57,0.43,0.47,0.52,0.39,0.59,0.55,0.47,0.51
AndroidSlidingUpPanel,0.49,0.6,0.45,0.57,0.5,0.0,0.46,0.73,0.51,0.52,0.47,0.52,0.44,0.52,0.36,0.41,0.46,0.54,0.5,0.52,0.59,0.5,0.45,0.5,0.29,0.53,0.63,0.51,0.0,0.52,0.49,0.53,0.52,0.5,0.47,0.47,0.64,0.23,0.47,0.53,0.43,0.49,0.44,0.42,0.0,0.41,0.0,0.49,0.5,0.46,0.56,0.43,0.35,0.52,0.66,0.5,0.48,0.53,0.51,0.44,0.53,0.46,0.43,0.39,0.44,0.51,0.53,0.4,0.53,,0.53,0.44,0.53,0.44,0.47,0.21,0.41,0.62,0.42,0.55,0.47,0.37,0.49,0.46,0.47,0.49,0.46,0.38,0.39,0.45,0.46,0.47,0.44,0.38,0.51,0.41,0.48,0.53,0.54,0.44,0.53,0.37,0.38,0.46,0.52,0.49,0.61,0.5,0.48,0.58,0.44,0.43,0.38,0.34,0.5,0.46,0.0,0.46,0.0,0.45,0.36,0.47,0.48,0.49,0.42,0.4,0.51,0.38,0.49,0.52,0.42,0.5,0.44,0.49,0.5,0.42,0.49,0.48,0.46,0.43,0.47,0.51,0.37,0.47,0.39,0.52,0.48,0.45,0.34
AndroidSwipeLayout,0.34,0.7,0.54,0.44,0.41,0.0,0.51,0.32,0.57,0.53,0.44,0.42,0.53,0.45,0.59,0.58,0.49,0.46,0.52,0.59,0.6,0.54,0.55,0.28,0.44,0.68,0.63,0.44,0.0,0.58,0.26,0.5,0.42,0.33,0.43,0.52,0.64,0.47,0.49,0.48,0.33,0.52,0.34,0.42,1.0,0.36,0.0,0.51,0.43,0.5,0.41,0.6,0.33,0.53,,0.52,0.49,0.49,0.45,0.49,0.58,0.4,0.54,0.57,0.43,0.59,0.24,0.9,0.61,0.63,0.52,0.58,0.56,0.31,0.57,0.19,0.29,0.58,0.63,0.49,0.49,0.49,0.57,0.36,0.48,0.35,0.49,0.45,0.59,0.35,0.29,0.6,0.51,0.43,0.55,0.53,0.45,0.57,0.75,0.52,0.32,0.38,0.34,0.44,0.41,0.52,0.58,0.53,0.4,0.55,0.38,0.67,0.61,0.29,0.26,0.44,0.0,0.47,0.0,0.41,0.33,0.53,0.64,0.35,0.49,0.41,0.47,0.41,0.63,0.37,0.47,0.48,0.41,0.45,0.65,0.53,0.38,0.46,0.45,0.46,0.57,0.53,0.39,0.49,0.32,0.49,0.35,0.48,0.42
AndroidViewAnimations,0.48,0.73,0.45,0.53,0.49,0.0,0.47,0.74,0.67,0.53,0.46,0.55,0.51,0.64,0.62,0.45,0.51,0.53,0.49,0.56,0.55,0.54,0.52,0.42,0.44,0.6,0.39,0.52,0.0,0.4,0.49,0.57,0.52,0.49,0.49,0.65,0.64,0.63,0.44,0.52,0.5,0.54,0.41,0.51,0.33,0.43,0.0,0.51,0.47,0.5,0.6,0.48,0.52,0.52,0.67,,0.39,0.44,0.47,0.47,0.56,0.5,0.59,0.61,0.37,0.58,0.52,0.2,0.49,0.65,0.4,0.48,0.56,0.47,0.56,0.23,0.44,0.37,0.5,0.56,0.46,0.4,0.53,0.43,0.52,0.48,0.52,0.48,0.67,0.48,0.46,0.57,0.5,0.47,0.55,0.43,0.52,0.53,0.56,0.48,0.56,0.39,0.49,0.45,0.53,0.37,0.59,0.52,0.47,0.56,0.47,0.6,0.35,0.36,0.48,0.44,0.0,0.5,0.0,0.43,0.41,0.42,0.52,0.5,0.46,0.57,0.55,0.5,0.57,0.55,0.5,0.52,0.47,0.5,0.54,0.56,0.49,0.48,0.47,0.45,0.63,0.53,0.46,0.51,0.48,0.65,0.63,0.5,0.48
