,scikit-learn,pip,jadx,android-Ultra-Pull-To-Refresh,AndroidViewAnimations,disruptor,BaseRecyclerViewAdapterHelper,LightTable,android,mobile-icon-resizer
AndroidViewAnimations,0.53,0.55,0.42,0.0,,0.57,0.76,0.53,0.54,0.56
BaseRecyclerViewAdapterHelper,0.49,0.53,0.32,0.0,0.54,0.56,,0.52,0.48,0.48
LightTable,0.5,0.54,0.33,0.0,0.47,0.56,0.65,,0.48,0.27
android,0.53,0.57,0.34,0.0,0.53,0.59,0.73,0.55,,0.44
disruptor,0.54,0.56,0.55,0.0,0.54,,0.71,0.55,0.52,0.49
jadx,0.54,0.55,,0.0,0.56,0.59,0.71,0.56,0.49,0.48
mobile-icon-resizer,0.49,0.51,0.35,0.0,0.52,0.54,0.57,0.5,0.42,
pip,0.5,,0.34,0.0,0.6,0.61,0.65,0.54,0.46,0.43
scikit-learn,,0.52,0.54,0.0,0.44,0.5,0.64,0.53,0.47,0.4
