,scikit-learn,pip,jadx,android-Ultra-Pull-To-Refresh,AndroidViewAnimations,disruptor,BaseRecyclerViewAdapterHelper,LightTable,android,mobile-icon-resizer
AndroidViewAnimations,0.53,0.56,0.61,0.0,,0.59,0.76,0.53,0.54,0.64
BaseRecyclerViewAdapterHelper,0.54,0.56,0.62,0.0,0.6,0.58,,0.55,0.54,0.5
LightTable,0.55,0.57,0.61,0.0,0.51,0.6,0.64,,0.52,0.19
android,0.53,0.58,0.6,0.0,0.54,0.6,0.74,0.56,,0.45
disruptor,0.54,0.57,0.63,0.0,0.61,,0.72,0.57,0.53,0.54
jadx,0.54,0.57,,0.0,0.6,0.63,0.71,0.57,0.52,0.54
mobile-icon-resizer,0.53,0.55,0.58,0.0,0.54,0.54,0.66,0.54,0.49,
pip,0.54,,0.61,0.0,0.62,0.62,0.71,0.57,0.52,0.46
scikit-learn,,0.56,0.57,0.0,0.59,0.59,0.56,0.58,0.53,0.39
