,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.6,0.76,0.65,0.78,0.71,0.68,0.74,0.91,0.95,0.3
geotools.csv,0.92,0.93,0.51,0.57,0.85,0.57,0.53,0.95,0.89,0.6
gephex.csv,0.67,0.91,0.75,1.0,0.85,0.51,0.65,0.43,0.83,0.87
haggle.csv,0.98,0.58,0.66,0.98,0.84,0.63,0.68,0.81,0.87,1.0
java-gnome.csv,0.83,0.85,0.56,0.23,0.83,0.44,0.66,0.66,0.82,0.78
jgnash.csv,0.74,0.64,0.35,0.58,0.63,0.46,0.54,0.87,0.93,0.91
jrdf.csv,0.92,0.9,0.83,0.69,0.61,0.35,0.68,0.88,0.62,1.0
mpqc.csv,0.5,0.86,1.02,0.92,0.82,1.0,0.93,0.79,0.83,0.61
panda3d.csv,0.59,0.72,0.65,0.54,0.56,0.52,0.62,0.77,0.85,0.68
tencompetence.csv,0.64,0.86,0.67,0.6,0.67,0.89,0.91,0.92,0.33,1.06
