,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.82,0.65,0.79,0.74,0.66,0.92,0.98,0.38,0.95,0.52
geotools.csv,0.45,0.47,0.35,0.37,0.47,0.58,0.44,0.36,0.42,0.48
gephex.csv,0.72,0.52,0.48,0.38,0.52,0.4,0.4,0.52,0.45,0.39
haggle.csv,0.48,0.42,0.8,0.0,0.83,0.42,0.52,0.61,0.53,0.0
java-gnome.csv,0.96,0.89,0.58,0.46,0.86,0.48,0.54,0.6,0.52,0.47
jgnash.csv,0.45,0.38,0.51,0.31,0.42,0.42,0.38,0.33,0.43,0.34
jrdf.csv,0.95,0.96,0.44,0.41,0.65,0.54,0.48,0.92,0.59,0.62
mpqc.csv,0.97,0.95,0.97,0.86,0.97,0.8,0.98,0.64,0.99,0.97
panda3d.csv,0.69,0.49,0.4,0.39,0.49,0.59,0.39,0.38,0.52,0.55
tencompetence.csv,0.97,0.87,0.69,0.46,0.65,0.4,0.59,0.91,0.66,0.88
