,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,486.5,98.5,189.0,553.0,292.5,295.0,197.5,196.0,98.5,99.0
geotools.csv,99.0,98.5,576.0,648.5,197.5,161.0,197.5,196.0,98.5,97.5
gephex.csv,99.0,98.5,654.5,648.5,197.5,1013.0,198.0,99.0,99.0,98.5
haggle.csv,1800.0,97.5,576.0,78.5,526.5,1051.0,197.5,83.5,94.5,53.5
java-gnome.csv,99.0,97.5,470.5,87.5,483.0,708.0,198.0,99.0,97.5,93.5
jgnash.csv,99.0,98.5,574.0,557.0,98.5,433.5,198.0,196.0,97.5,99.0
jrdf.csv,99.0,91.5,993.5,276.5,197.5,257.5,99.0,99.0,98.5,98.5
mpqc.csv,387.0,88.5,1752.0,86.5,292.5,320.5,98.5,196.0,291.5,99.0
panda3d.csv,99.0,98.5,481.5,467.5,98.5,409.5,198.0,95.5,98.5,94.5
tencompetence.csv,99.0,93.5,783.5,80.5,197.5,1624.5,97.5,99.0,99.0,95.5
