,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,9.0,5.0,0.0,0.0,0.0,17.0,4.0,9.0,5.0,11.0
cities3d.csv,7.0,13.0,2.0,8.0,0.0,0.0,20.0,0.0,0.0,10.0
firebird.csv,13.0,0.0,0.0,2.0,1.0,19.0,13.0,10.0,2.0,20.0
hydrogen.csv,17.0,10.0,6.0,13.0,6.0,50.0,0.0,5.0,4.0,10.0
lphant.csv,12.0,13.0,0.0,8.0,6.0,44.0,25.0,0.0,0.0,17.0
open-ms.csv,16.0,16.0,0.0,8.0,5.0,71.0,4.0,0.0,4.0,0.0
qgo.csv,9.0,0.0,1.0,0.0,0.0,5.0,8.0,6.0,5.0,6.0
rhex.csv,0.0,5.0,0.0,5.0,1.0,9.0,5.0,2.0,0.0,4.0
xined.csv,5.0,15.0,0.0,8.0,7.0,24.0,6.0,0.0,0.0,6.0
yield.csv,11.0,2.0,0.0,8.0,0.0,89.0,0.0,0.0,2.0,7.0
