,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.12,0.43,0.59,0.99,0.5,0.1,0.44,0.18,0.45,0.27
cities3d.csv,0.21,0.43,0.75,0.32,0.63,1.0,0.24,0.31,0.4,0.24
firebird.csv,0.12,0.82,0.99,0.45,0.66,0.11,0.2,0.27,0.51,0.22
hydrogen.csv,0.15,0.53,0.56,0.57,0.41,0.12,1.0,0.19,0.62,0.4
lphant.csv,0.19,0.42,0.51,0.39,0.53,0.08,0.2,0.32,1.0,0.21
open-ms.csv,0.13,0.47,0.58,0.36,0.46,0.08,0.09,0.29,0.54,1.0
qgo.csv,0.24,1.0,0.63,0.53,0.94,0.11,0.46,0.2,0.48,0.32
rhex.csv,1.0,0.52,0.66,0.41,0.45,0.33,0.33,0.5,1.0,0.53
xined.csv,0.14,0.45,0.44,0.35,0.41,0.27,0.36,1.0,0.48,0.33
yield.csv,0.14,0.59,0.59,0.4,0.97,0.09,0.19,0.29,0.51,0.23
