,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.36,0.36,0.56,0.97,0.2,0.44,0.49,0.34,0.6,0.47
cities3d.csv,0.37,0.44,0.19,0.35,0.23,0.84,0.48,0.44,0.21,0.34
firebird.csv,0.29,0.35,0.97,0.56,0.47,0.46,0.57,0.67,0.72,0.46
hydrogen.csv,0.37,0.6,0.49,0.37,0.24,0.7,1.0,0.34,0.41,0.32
lphant.csv,0.65,0.49,0.53,0.61,0.61,0.47,0.69,0.69,0.96,0.5
open-ms.csv,0.5,0.53,0.55,0.55,0.31,0.44,0.28,0.53,0.36,0.95
qgo.csv,0.54,1.0,0.58,0.54,0.32,0.64,0.72,0.34,0.56,0.51
rhex.csv,0.93,0.54,0.18,0.4,0.1,0.43,0.29,0.24,0.06,0.13
xined.csv,0.1,0.36,0.11,0.54,0.17,0.48,0.36,0.92,0.52,0.12
yield.csv,0.55,0.78,0.61,0.62,0.95,0.57,0.72,0.78,0.72,0.62
