,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.68,0.78,0.46,0.63,0.91,0.67,0.88,0.59,0.45,0.65
cities3d.csv,0.89,0.41,0.97,0.5,0.95,0.97,0.79,0.77,0.9,0.88
firebird.csv,0.81,0.91,0.51,0.6,0.66,0.59,0.72,0.46,0.37,0.72
hydrogen.csv,0.67,0.53,0.55,0.69,0.91,0.55,0.81,0.56,0.77,0.89
lphant.csv,0.62,0.49,0.5,0.54,0.57,0.55,0.69,0.59,0.52,0.57
open-ms.csv,0.7,0.45,0.64,0.54,0.92,0.65,0.93,0.88,0.77,0.88
qgo.csv,0.56,0.43,0.41,0.47,0.72,0.4,0.58,0.53,0.4,0.58
rhex.csv,0.91,0.48,0.97,0.68,0.91,0.98,0.92,0.75,0.0,0.95
xined.csv,0.86,0.41,0.97,0.53,0.95,0.98,0.93,0.89,0.57,0.96
yield.csv,0.41,0.35,0.35,0.42,0.5,0.39,0.6,0.4,0.34,0.41
