,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.83,0.0,0.97,0.92,0.93,0.96,0.81,0.92,0.37,0.96,0.88,0.66
dvt.csv,0.42,0.58,0.5,0.56,0.53,0.94,0.64,0.43,0.26,0.5,0.86,0.44
flylinkdc.csv,0.57,0.27,0.59,0.54,0.5,0.47,0.55,0.5,0.79,0.45,0.39,0.47
fulguro.csv,0.0,0.5,0.7,0.76,0.67,0.55,0.81,0.6,0.0,0.63,0.5,0.76
fw4spl.csv,0.49,0.75,0.79,0.74,0.88,0.62,0.62,0.45,0.8,0.98,0.8,0.57
ipfire-wall.csv,0.68,0.48,0.62,0.59,0.75,0.77,0.79,0.46,0.0,0.67,0.71,0.49
jruby.csv,0.36,0.26,0.53,0.93,0.0,0.87,0.5,0.0,0.31,0.56,0.41,0.0
ldview.csv,0.37,0.26,0.63,0.51,0.54,0.46,0.89,0.36,0.26,0.51,0.39,0.47
nuttx.csv,0.53,0.97,0.71,0.62,0.45,0.9,0.86,0.48,0.38,0.61,0.5,0.93
oorexx.csv,0.4,0.99,0.89,0.44,0.49,0.45,0.54,0.4,0.36,0.82,0.4,0.5
uclmda.csv,0.79,0.88,0.97,0.9,0.69,0.9,0.92,0.8,0.27,0.0,0.0,0.91
vdsf.csv,0.45,0.99,0.66,0.65,0.64,0.85,0.57,0.37,0.47,0.5,0.42,0.51
