,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.2,0.49,0.68,0.47,0.8,0.29,0.71,0.58,0.12,0.25,0.25,0.72
jaolt.csv,0.32,0.62,0.56,0.25,0.82,0.06,0.73,0.56,0.18,0.54,0.34,0.65
jcl.csv,0.19,0.37,0.28,0.24,0.59,0.29,0.59,0.42,0.34,0.51,0.18,0.48
kmess.csv,0.2,0.6,0.27,0.31,0.85,0.06,0.27,0.53,0.13,0.43,0.2,0.71
ossbuild.csv,0.12,0.42,0.59,0.39,0.67,0.45,0.46,0.56,0.47,0.41,0.53,0.61
qgo.csv,0.27,0.87,0.39,0.39,0.88,0.14,0.81,0.51,0.23,0.63,0.35,0.72
quark.csv,0.0,0.58,0.29,0.24,0.42,0.1,0.29,0.36,0.37,0.32,0.63,0.12
rezilla.csv,0.18,0.51,0.16,0.6,0.73,0.1,0.41,0.5,0.1,0.68,0.1,0.69
rhex.csv,0.47,0.61,0.21,0.1,0.48,0.05,0.63,0.45,0.21,0.36,0.24,0.45
toped.csv,0.11,0.55,0.51,0.48,0.89,0.26,0.69,0.26,0.22,0.36,0.32,0.62
truevision.csv,0.23,0.62,0.6,0.56,0.84,0.18,0.66,0.65,0.22,0.43,0.41,0.73
wxstudio.csv,0.24,0.12,0.1,0.15,0.32,0.31,0.46,0.33,0.0,0.73,0.09,0.36
