,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.33,0.39,0.75,0.75,0.0,0.14,1.0,0.24,0.0,0.56,0.33,0.17,1.0,1.0,1.0
atlc.csv,0.3,0.46,0.18,0.29,1.0,0.07,0.63,0.19,0.25,0.44,0.12,0.3,1.0,0.16,0.64
ipfilter.csv,0.14,0.35,0.12,0.23,0.55,0.0,0.54,0.19,0.27,0.44,0.14,0.29,0.99,0.19,1.0
liferea.csv,0.11,0.7,0.21,1.0,0.94,0.43,0.73,0.16,0.0,0.58,0.15,0.32,1.0,0.24,0.8
miranda-icq.csv,0.11,0.62,0.1,0.5,0.75,0.0,0.86,0.13,0.2,0.4,0.19,0.98,0.99,0.22,1.0
opensim4opencog.csv,0.11,0.5,0.25,0.31,0.85,0.0,0.74,1.0,0.0,0.67,0.1,0.33,1.0,0.31,0.86
pclasses.csv,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pfaedit.csv,0.5,0.59,0.23,0.26,0.94,0.17,1.0,0.17,0.33,0.54,0.14,0.28,1.0,0.29,0.78
psrchive.csv,0.22,0.33,1.0,0.14,0.2,0.11,0.78,0.11,0.0,0.55,0.2,0.32,1.0,0.3,1.0
theresa.csv,0.0,1.0,0.67,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,0.5,1.0
thrust.csv,0.0,0.25,0.15,0.17,0.48,0.07,0.46,0.06,0.94,0.48,0.11,0.2,1.0,0.2,0.73
tktoolkit.csv,0.07,0.33,0.24,0.12,0.75,0.0,0.5,0.06,0.38,0.55,1.0,0.27,1.0,0.24,0.92
tzod.csv,0.25,1.0,0.23,0.38,0.72,0.27,0.73,0.22,0.5,0.5,0.12,0.29,1.0,0.23,0.58
yaprm.csv,0.22,0.18,0.19,0.0,0.4,0.12,0.6,0.23,0.33,1.0,0.1,0.26,1.0,0.14,0.75
