,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.74,0.87,0.32,0.32,0.54,0.58,0.22
flexpay.csv,0.54,0.81,0.33,0.33,0.38,0.38,0.32
gabel.csv,0.58,0.2,0.27,0.39,0.42,0.49,0.26
genoviz.csv,0.5,0.76,0.26,0.36,0.38,0.35,0.83
img-browse-sort.csv,0.63,0.46,0.27,0.26,0.59,0.48,0.2
ontomorphtab.csv,0.75,0.85,0.32,0.23,0.42,0.58,0.24
passwordsafe.csv,0.71,0.54,0.31,0.22,0.57,0.64,0.3
