,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.9,0.9,0.9,0.07,0.81,0.94,0.68
java-gnome.csv,0.39,0.73,0.47,0.53,0.06,0.64,0.69
mb-unit.csv,0.45,0.05,0.61,0.61,0.48,0.72,0.95
mecat.csv,0.99,0.99,0.97,0.96,1.0,0.92,0.0
rodin-b-sharp.csv,0.52,0.66,0.02,0.72,0.26,0.56,0.84
unicase.csv,0.55,0.61,0.61,0.6,0.83,0.02,0.81
wpdev.csv,0.0,1.0,1.0,0.91,1.0,1.0,1.0
