,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,1.0,0.83,0.41,1.0,0.92,0.67,0.12
java-gnome.csv,1.0,0.85,0.56,0.25,0.98,0.81,0.05
mb-unit.csv,1.0,0.99,0.44,0.21,0.87,0.75,0.05
mecat.csv,1.0,1.0,0.5,0.5,0.0,0.85,1.0
rodin-b-sharp.csv,0.99,0.88,0.99,0.22,0.94,0.8,0.03
unicase.csv,0.99,0.88,0.44,0.22,0.72,0.99,0.04
wpdev.csv,1.0,0.85,0.36,0.18,0.78,0.72,0.05
