,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.0,0.85,0.08,0.0,0.06,0.88,0.12
java-gnome.csv,0.0,0.38,0.27,0.4,0.06,0.25,0.6
mb-unit.csv,0.0,0.05,0.39,0.46,0.38,0.69,0.95
mecat.csv,0.0,0.0,0.01,0.01,0.0,0.04,0.0
rodin-b-sharp.csv,0.5,0.34,0.0,0.23,0.19,0.48,0.52
unicase.csv,0.5,0.46,0.4,0.43,0.31,0.02,0.73
wpdev.csv,0.0,1.0,1.0,0.91,1.0,1.0,1.0
