,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.13,0.05,0.24,0.19,0.13,0.0,0.18,0.76,0.04,0.26,0.26,0.11,0.67,0.08,0.26,0.19
bdbbasic.csv,0.37,0.18,0.35,0.09,0.34,0.39,0.22,0.03,0.0,0.68,0.25,0.22,0.0,0.15,0.39,0.16
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echongl.csv,0.75,0.51,0.45,0.84,0.69,0.78,0.49,0.92,0.65,0.03,0.64,0.54,0.0,0.75,0.49,0.32
etherboot.csv,0.47,0.25,0.05,0.06,0.0,0.25,0.16,0.63,0.37,0.13,0.19,0.22,0.33,0.08,0.05,0.35
freebios.csv,0.47,0.34,0.48,0.69,0.49,0.45,0.02,0.68,0.47,0.29,0.51,0.49,0.0,0.49,0.42,0.19
gebr.csv,0.87,0.84,0.77,0.5,0.66,0.85,0.84,0.03,0.78,0.92,0.73,0.68,0.67,0.79,0.92,0.71
glelite.csv,1.0,0.99,1.0,0.97,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
gnukeda.csv,0.56,0.33,0.53,0.0,0.62,0.61,0.33,0.13,0.22,0.42,0.55,0.57,1.0,0.14,0.61,0.61
google-gears.csv,0.63,0.23,0.31,0.56,0.69,0.22,0.73,0.82,0.41,0.84,0.6,0.0,0.67,0.4,0.28,0.29
gstreamer.csv,0.48,0.4,0.54,0.28,0.33,0.57,0.24,0.11,0.61,0.66,0.4,0.46,0.0,0.01,0.47,0.35
jnode.csv,0.01,0.68,0.0,0.03,0.11,0.0,0.0,0.39,0.0,0.0,0.01,0.03,0.0,0.0,0.06,0.32
metacosm.csv,0.31,0.17,0.4,0.12,0.26,0.42,0.08,0.03,0.24,0.18,0.18,0.24,0.67,0.17,0.28,0.03
openmeetings.csv,0.16,0.0,0.13,0.06,0.21,0.46,0.29,0.03,0.04,0.66,0.13,0.14,0.67,0.12,0.24,0.26
tradelink.csv,0.32,0.12,0.05,0.19,0.18,0.84,0.02,0.0,0.69,0.55,0.0,0.11,0.0,0.1,0.24,0.06
wxcrp.csv,0.01,0.77,0.72,0.06,0.16,0.19,0.04,0.03,0.04,0.11,0.23,0.05,0.0,0.12,0.77,0.68
