,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.32,0.15,0.06,0.45,0.26,0.59,0.04,0.02,0.0,0.0,0.44,0.03,0.03,0.29
crux-framework.csv,0.27,0.28,0.2,0.31,0.35,0.31,0.58,0.35,0.39,0.25,0.52,0.45,0.33,0.17
etherboot.csv,0.06,0.52,0.0,0.05,0.42,0.15,0.0,0.73,0.47,0.33,0.07,0.0,0.09,0.64
freebios.csv,0.33,0.13,0.05,0.54,0.32,0.15,0.78,0.46,0.43,0.24,0.6,0.27,0.07,0.4
gebr.csv,0.45,0.25,0.07,0.68,0.39,0.49,0.62,0.75,0.47,0.34,0.87,0.74,0.05,0.64
gnukeda.csv,0.51,0.33,0.05,0.75,0.29,0.55,0.3,0.52,0.29,0.28,0.82,0.19,0.04,0.63
google-gears.csv,0.52,0.34,0.08,0.49,0.43,0.51,0.46,0.72,0.44,0.4,0.78,0.72,0.05,0.63
gstreamer.csv,0.5,0.21,0.03,0.6,0.38,0.47,0.42,0.6,0.43,0.35,0.76,0.75,0.06,0.64
jnode.csv,0.06,0.21,0.23,0.48,0.0,0.0,0.18,0.51,0.0,0.09,0.26,0.04,0.07,0.13
metacosm.csv,0.37,0.22,0.09,0.47,0.16,0.46,0.13,0.58,0.36,0.38,0.42,0.42,0.11,0.76
openmeetings.csv,0.56,0.62,0.09,0.38,0.42,0.5,0.35,0.59,0.45,0.21,0.52,0.66,0.04,0.59
pgui.csv,0.3,0.26,0.0,0.45,0.35,0.42,0.23,0.73,0.52,0.34,0.68,0.0,0.05,0.64
tradelink.csv,0.36,0.24,0.1,0.5,0.34,0.45,0.53,0.71,0.43,0.53,0.39,0.69,0.07,0.61
wxcrp.csv,0.46,0.21,0.08,0.59,0.42,0.5,0.61,0.83,0.42,0.44,0.65,0.73,0.02,0.56
