,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.77,0.97,0.57,0.74,0.71,0.58,0.5,0.0,0.0,0.0,0.72,0.67,0.68,0.95
crux-framework.csv,0.63,0.48,0.96,0.68,0.94,0.59,0.46,0.94,0.46,0.92,0.77,0.76,0.93,0.89
etherboot.csv,0.0,0.79,0.0,0.0,0.69,0.67,0.0,0.53,0.42,0.32,0.75,0.0,0.35,0.41
freebios.csv,0.56,0.96,0.69,0.65,0.7,0.94,0.63,0.84,0.73,0.43,0.66,0.99,0.56,0.85
gebr.csv,0.42,0.38,0.39,0.41,0.4,0.49,0.39,0.44,0.39,0.33,0.44,0.37,0.42,0.41
gnukeda.csv,0.46,0.68,0.62,0.55,0.53,0.47,0.69,0.59,0.97,0.68,0.48,0.97,0.43,0.44
google-gears.csv,0.44,0.67,0.53,0.44,0.42,0.4,0.42,0.46,0.41,0.51,0.47,0.38,0.55,0.43
gstreamer.csv,0.44,0.42,0.57,0.47,0.45,0.46,0.48,0.48,0.4,0.46,0.49,0.42,0.47,0.41
jnode.csv,0.8,0.56,0.78,0.59,0.8,0.89,0.86,0.75,0.5,0.67,0.97,0.8,0.83,0.75
metacosm.csv,0.83,0.48,0.44,0.7,0.8,0.68,0.92,0.49,0.61,0.51,0.6,0.76,0.57,0.43
openmeetings.csv,0.52,0.58,0.37,0.64,0.41,0.32,0.68,0.44,0.38,0.79,0.53,0.36,0.45,0.38
pgui.csv,0.68,0.43,0.0,0.7,0.5,0.43,0.92,0.59,0.68,0.4,0.6,0.0,0.43,0.41
tradelink.csv,0.92,0.47,0.5,0.64,0.51,0.51,0.5,0.46,0.43,0.68,0.68,0.38,0.57,0.47
wxcrp.csv,0.56,0.43,0.42,0.49,0.41,0.47,0.4,0.46,0.4,0.51,0.51,0.36,0.56,0.47
