,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.24,0.72,0.04,0.73,0.43,0.87,0.38,0.09,0.61,0.27
bscwweasel.csv,0.43,0.19,0.09,0.29,0.33,0.6,0.17,0.2,0.88,0.2
cme.csv,0.08,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.91
fido.csv,0.12,0.26,0.0,0.0,0.0,0.44,0.24,0.4,0.0,0.0
japano.csv,0.14,0.82,0.04,0.55,0.36,0.69,0.26,0.07,0.85,0.0
joustsim.csv,0.25,0.76,0.04,0.51,0.33,0.64,0.74,0.09,0.38,0.19
log4net.csv,0.21,0.32,0.26,0.47,0.05,0.43,0.46,0.08,0.66,0.09
personalaccess.csv,0.21,0.67,0.12,0.74,0.4,0.86,0.11,0.04,0.55,0.33
rcp-company-uibindings.csv,0.33,0.33,0.07,0.42,0.38,0.58,0.36,0.14,0.92,0.34
unbvision.csv,0.29,0.47,0.06,0.59,0.62,0.53,0.35,0.0,0.84,0.17
