,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.9,0.54,0.63,0.57,0.74,0.7,0.09,0.39,0.41,0.54,0.0,0.51
crisscross.csv,0.0,0.0,0.75,0.69,0.38,0.32,0.34,0.21,0.58,0.0,0.61,0.09
gabel.csv,0.34,0.36,0.65,0.61,0.19,0.44,0.39,0.34,0.85,0.07,0.65,0.49
jguard.csv,0.0,0.0,0.38,0.33,0.0,0.37,0.46,0.7,0.41,0.27,0.43,0.63
jitterbit.csv,0.71,0.0,0.57,0.59,0.29,0.68,0.48,0.46,0.17,0.35,0.33,0.55
mycila.csv,0.0,0.45,0.49,0.4,0.61,0.3,0.48,0.46,0.84,0.43,0.79,0.55
nova.csv,0.0,0.83,0.57,0.63,0.5,0.51,0.51,0.51,0.78,0.22,0.56,0.63
ontomorphtab.csv,0.7,0.67,0.55,0.72,0.59,0.61,0.49,0.63,0.76,0.22,0.61,0.59
tmva.csv,0.43,0.73,0.0,0.57,0.0,0.41,0.4,0.48,0.5,0.35,0.21,0.74
vienna-add-in.csv,0.5,0.66,0.56,0.6,0.17,0.63,0.72,0.51,0.14,0.41,0.53,0.55
vrjuggler.csv,0.83,0.35,0.27,0.58,0.46,0.56,0.5,0.56,0.0,0.73,0.49,0.4
wpdev.csv,1.0,0.58,0.54,0.45,0.46,0.24,0.09,0.0,0.0,0.45,0.0,0.0
