,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,2.0,2.0,1.0,7.0,4.0,4.0,74.0,51.0,4.0,62.0
flylegacy.csv,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,3.0
jguard.csv,8.0,1.0,0.0,6.0,1.0,7.0,5.0,0.0,4.0,1.0
m-a-d-n-e-s-s.csv,2.0,0.0,0.0,23.0,2.0,3.0,74.0,0.0,2.0,3.0
mob-sen-plat.csv,0.0,0.0,1.0,24.0,2.0,6.0,0.0,0.0,4.0,1.0
raygina.csv,1.0,52.0,1.0,0.0,1.0,9.0,2.0,1.0,4.0,1.0
st-filteredstatistics.csv,7.0,0.0,0.0,9.0,1.0,1.0,9.0,0.0,4.0,0.0
upp-mirror.csv,11.0,1.0,2.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0
wishmaster.csv,1.0,2.0,1.0,17.0,0.0,3.0,0.0,2.0,2.0,0.0
yarp.csv,2.0,52.0,1.0,29.0,2.0,6.0,0.0,0.0,0.0,0.0
