,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.18,0.32,0.25,0.23,0.34,0.34,0.39,0.29,0.33,0.46
flylegacy.csv,0.22,0.11,0.21,0.21,0.23,0.31,0.25,0.21,0.25,0.16
jguard.csv,0.28,0.15,0.28,0.24,0.27,0.29,0.24,0.27,0.39,0.16
m-a-d-n-e-s-s.csv,0.13,0.32,0.21,0.14,0.36,0.33,0.39,0.21,0.18,0.11
mob-sen-plat.csv,0.29,0.21,0.28,0.21,0.22,0.31,0.17,0.25,0.22,0.21
raygina.csv,0.19,0.34,0.28,0.21,0.27,0.15,0.2,0.13,0.19,0.16
st-filteredstatistics.csv,0.28,0.13,0.21,0.2,0.22,0.16,0.21,0.23,0.18,0.16
upp-mirror.csv,0.25,0.25,0.25,0.2,0.24,0.26,0.23,0.25,0.25,0.35
wishmaster.csv,0.16,0.15,0.21,0.18,0.19,0.24,0.19,0.27,0.19,0.19
yarp.csv,0.18,0.34,0.2,0.24,0.36,0.29,0.16,0.27,0.16,0.25
