,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.51,0.44,0.42,0.45
ngl.csv,0.53,0.41,0.45,0.44
qmmp.csv,0.54,0.56,0.54,0.57
quarkplusplus.csv,0.56,0.55,0.63,0.71
