,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.34,0.33,0.61,0.41,0.41,0.7,0.43,0.61,0.04,0.0,0.29,0.52
emono.csv,0.27,0.32,0.55,0.35,0.35,0.66,0.58,0.68,0.11,0.06,0.32,0.74
freedom-erp.csv,0.67,0.21,0.7,0.07,0.0,0.28,0.5,0.76,0.0,0.0,0.0,0.02
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.0,0.4,0.0,0.0
jmoney.csv,0.74,0.29,0.66,0.4,0.29,0.69,0.28,0.41,0.21,0.0,0.38,0.62
jmonkeyengine.csv,0.16,0.26,0.39,0.47,0.51,0.53,0.24,0.0,0.14,0.07,0.36,0.71
jsidplay2.csv,0.56,0.15,0.87,0.25,0.35,0.68,0.71,0.75,0.19,0.0,0.33,0.39
matrex.csv,0.65,0.3,0.51,0.0,0.15,0.67,0.84,0.48,0.0,0.0,0.26,0.22
mediate.csv,0.26,0.3,0.32,0.28,0.25,0.67,0.56,0.63,0.08,0.05,0.0,0.32
mesa3d.csv,0.43,0.32,0.69,0.45,0.33,0.72,0.61,0.74,0.17,0.0,0.4,0.69
pustefix.csv,0.23,0.17,0.32,0.58,0.43,0.24,0.3,0.51,0.04,0.12,0.4,0.61
reaper3d.csv,0.53,0.0,0.65,0.4,0.33,0.09,0.16,0.61,0.29,0.0,0.05,0.47
