,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.4,0.44,0.53,0.91,0.94,0.95,0.51,0.71,0.12,0.0,0.62,0.46
emono.csv,0.3,0.88,0.47,0.74,0.67,0.72,0.79,0.86,0.5,1.0,0.62,0.74
freedom-erp.csv,0.7,0.19,0.59,0.04,0.0,0.18,0.4,0.74,0.0,0.0,0.0,0.01
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.8,0.44,0.53,0.39,0.28,0.77,0.16,0.29,0.62,0.0,0.67,0.61
jmonkeyengine.csv,0.2,0.62,0.29,0.91,0.56,0.51,0.22,0.0,0.75,1.0,0.97,0.84
jsidplay2.csv,0.7,0.12,0.83,0.22,0.61,0.74,0.7,0.98,0.62,0.0,0.52,0.28
matrex.csv,0.7,0.31,0.36,0.0,0.11,0.64,0.84,0.36,0.0,0.0,0.17,0.12
mediate.csv,0.2,0.81,0.2,0.26,0.22,0.69,0.68,0.57,0.12,0.5,0.0,0.2
mesa3d.csv,0.5,0.69,0.66,0.61,0.39,1.0,0.66,0.95,0.88,0.0,0.54,0.71
pustefix.csv,0.3,0.19,0.22,0.65,0.78,0.15,0.25,0.43,0.12,1.0,0.87,0.54
reaper3d.csv,0.6,0.0,0.53,0.74,0.28,0.05,0.1,0.55,0.75,0.0,0.03,0.35
