,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.59,0.42,0.75,0.59,0.68,0.55,0.96,0.61,0.59,0.63
critterding.csv,0.38,0.98,0.59,0.42,0.31,0.43,0.45,0.43,0.52,0.58
enlightenment.csv,0.53,0.54,0.72,0.96,0.36,0.36,0.49,0.52,0.51,0.33
exordium.csv,0.17,0.53,1.0,0.25,0.55,0.44,0.06,0.48,0.38,0.56
google-caja.csv,0.51,0.49,0.59,0.37,0.58,0.99,0.67,0.48,0.63,0.59
itext.csv,0.56,0.5,0.55,0.58,0.53,0.53,0.66,0.49,0.51,0.97
lockss.csv,0.12,0.39,0.25,0.16,1.0,0.26,0.13,0.1,0.06,0.37
modplug.csv,0.5,0.63,0.62,0.48,0.57,0.55,0.51,0.54,0.98,0.68
reactos-mirror.csv,0.93,0.58,0.64,0.55,0.57,0.58,0.68,0.4,0.65,0.42
yafdotnet.csv,0.48,0.39,0.65,0.5,0.68,0.54,0.39,0.98,0.54,0.63
