,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.64,0.38,0.79,0.6,0.68,0.51,0.95,0.59,0.65,0.88
critterding.csv,0.34,0.97,0.63,0.39,0.27,0.4,0.42,0.39,0.6,0.65
enlightenment.csv,0.5,0.53,0.89,0.96,0.32,0.33,0.47,0.52,0.47,0.29
exordium.csv,0.14,0.53,1.0,0.21,0.55,0.41,0.05,0.44,0.33,0.56
google-caja.csv,0.5,0.47,0.63,0.33,0.91,0.99,0.68,0.96,0.58,0.56
itext.csv,0.72,0.47,0.53,0.61,0.5,0.49,0.63,0.45,0.47,0.97
lockss.csv,0.1,0.35,0.21,0.13,1.0,0.22,0.11,0.08,0.05,0.32
modplug.csv,0.88,0.76,0.84,0.88,0.95,0.77,0.84,0.93,0.98,0.82
reactos-mirror.csv,0.93,0.65,0.74,0.52,0.59,0.6,0.68,0.36,0.69,0.97
yafdotnet.csv,0.6,0.35,0.63,0.55,0.82,0.5,0.47,0.98,0.64,0.82
