,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.41,0.54,0.53,0.52,0.47,0.48,0.63,0.48,0.5,0.43
critterding.csv,0.66,0.64,0.6,0.7,0.83,0.68,0.8,0.74,0.55,0.55
enlightenment.csv,0.66,0.61,0.48,0.54,0.76,0.73,0.67,0.53,0.56,0.93
exordium.csv,0.99,0.71,0.74,0.99,0.56,0.6,0.89,0.69,0.9,0.53
google-caja.csv,0.46,0.45,0.5,0.64,0.39,0.34,0.4,0.35,0.41,0.41
itext.csv,0.37,0.43,0.68,0.44,0.43,0.45,0.52,0.55,0.53,0.44
lockss.csv,0.99,0.83,0.88,0.98,0.83,0.89,0.67,0.91,0.67,0.6
modplug.csv,0.41,0.4,0.47,0.47,0.4,0.39,0.45,0.35,0.43,0.48
reactos-mirror.csv,0.62,0.57,0.55,0.53,0.43,0.43,0.48,0.65,0.47,0.42
yafdotnet.csv,0.47,0.5,0.58,0.65,0.4,0.49,0.52,0.52,0.39,0.4
