,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.56,0.32,0.38,0.45,0.3,0.22,0.02,0.3,0.58,0.7
critterding.csv,0.33,0.0,0.54,0.36,0.33,0.37,0.35,0.24,0.67,0.6
enlightenment.csv,0.33,0.44,0.59,0.02,0.29,0.41,0.43,0.49,0.25,0.17
exordium.csv,0.16,0.49,0.0,0.16,0.47,0.37,0.16,0.23,0.08,0.43
google-caja.csv,0.43,0.41,0.54,0.19,0.76,0.0,0.35,0.84,0.08,0.27
itext.csv,0.7,0.34,0.38,0.5,0.34,0.22,0.18,0.2,0.17,0.03
lockss.csv,0.07,0.27,0.07,0.05,0.01,0.07,0.02,0.02,0.0,0.13
modplug.csv,0.82,0.63,0.7,0.83,0.78,0.74,0.8,0.8,0.0,0.6
reactos-mirror.csv,0.05,0.59,0.59,0.26,0.49,0.48,0.33,0.26,0.46,0.87
yafdotnet.csv,0.73,0.34,0.25,0.63,0.59,0.15,0.76,0.02,0.67,0.67
