,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.44,0.5,0.42,0.65,0.35,0.87,0.95,0.58,0.72,0.59
critterding.csv,0.41,1.0,0.29,0.6,0.17,0.76,0.32,0.54,0.67,0.55
enlightenment.csv,0.51,0.5,0.34,0.98,0.21,0.7,0.3,0.43,0.81,0.67
exordium.csv,0.38,0.47,1.0,0.65,0.22,0.76,0.11,0.58,0.9,0.59
google-caja.csv,0.44,0.48,0.29,0.71,0.22,1.0,0.43,0.45,0.94,0.7
itext.csv,0.41,0.53,0.32,0.63,0.26,0.86,0.57,0.62,0.87,0.97
lockss.csv,0.5,0.52,0.5,0.77,0.96,0.89,0.67,0.73,1.0,0.73
modplug.csv,0.42,0.5,0.29,0.6,0.23,0.75,0.29,0.45,1.0,0.61
reactos-mirror.csv,0.93,0.48,0.3,0.74,0.22,0.78,0.45,0.5,0.78,0.56
yafdotnet.csv,0.36,0.46,0.46,0.55,0.25,0.91,0.2,0.97,0.69,0.58
