,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.48,1.0,0.45,0.57,0.42
empyrean.csv,0.99,0.43,0.62,0.58,0.56
mplayer-ce.csv,0.53,0.63,0.47,0.52,0.97
nutz.csv,0.53,0.47,0.97,0.43,0.54
yafdotnet.csv,0.51,0.66,0.65,0.98,0.4
