,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.77,0.7,0.47,0.67,0.55,0.5,0.64,0.65,0.51,0.57,0.62,0.6
codesmith.csv,0.43,0.54,0.35,0.42,0.6,0.58,0.49,0.5,0.59,0.4,0.59,0.83
icescrum.csv,0.72,0.49,0.35,0.37,0.51,0.35,0.52,0.67,0.54,0.21,0.79,0.23
ingex.csv,0.63,0.54,0.51,0.55,0.67,0.56,0.61,0.61,0.2,0.56,0.7,0.44
jrefactory.csv,0.41,0.46,0.72,0.5,0.43,0.25,0.42,0.59,0.36,0.44,0.46,0.13
jsecurity.csv,0.24,0.49,0.32,0.66,0.23,0.54,0.34,0.35,0.44,0.11,0.19,0.61
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.65,0.0,0.35,0.27,0.31,0.13,0.73
lite.csv,0.24,0.56,0.55,0.4,0.27,0.59,0.63,0.36,0.69,0.63,0.0,0.19
mobicents.csv,0.72,0.63,0.44,0.5,0.52,0.3,0.67,0.47,0.5,0.33,0.7,0.25
opendvr.csv,0.7,0.6,0.37,0.53,0.59,0.13,0.62,0.59,0.64,0.69,0.59,0.41
openefm.csv,0.56,0.6,0.39,0.65,0.23,0.46,0.57,0.6,0.0,0.36,0.7,0.54
sidekar.csv,0.0,0.34,0.0,0.0,0.72,0.0,0.0,0.0,0.09,0.0,0.0,0.0
