,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.64,0.56,0.6,0.37,0.62,0.52,0.64,0.55,0.47,0.41,0.58,0.67
codesmith.csv,0.36,0.42,0.4,0.32,0.67,0.58,0.52,0.42,0.42,0.42,0.5,0.86
icescrum.csv,0.57,0.47,0.43,0.28,0.59,0.39,0.55,0.57,0.4,0.2,0.75,0.3
ingex.csv,0.45,0.47,0.56,0.28,0.79,0.56,0.64,0.58,0.39,0.43,0.62,0.5
jrefactory.csv,0.27,0.36,0.74,0.28,0.5,0.29,0.43,0.52,0.28,0.34,0.39,0.76
jsecurity.csv,0.25,0.5,0.36,0.47,0.3,0.55,0.4,0.38,0.41,0.14,0.26,0.69
libopenmetaverse.csv,0.42,0.5,0.73,0.32,0.79,0.67,0.67,0.52,0.44,0.26,0.55,0.78
lite.csv,0.23,0.47,0.61,0.3,0.37,0.6,0.63,0.3,0.61,0.48,0.5,0.23
mobicents.csv,0.51,0.51,0.48,0.38,0.61,0.57,0.68,0.55,0.4,0.46,0.61,0.31
opendvr.csv,0.53,0.51,0.41,0.41,0.65,0.64,0.63,0.5,0.45,0.59,0.52,0.47
openefm.csv,0.42,0.53,0.46,0.36,0.31,0.5,0.66,0.53,0.0,0.29,0.61,0.63
sidekar.csv,0.0,0.36,0.0,0.0,0.78,0.0,0.0,0.0,0.43,0.45,0.0,0.0
