,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.54,0.45,0.54,0.25,0.62,0.59,0.59,0.45,0.31,0.3,0.42,0.79
codesmith.csv,0.34,0.32,0.53,0.28,0.66,0.58,0.47,0.33,0.29,0.28,0.41,0.89
icescrum.csv,0.47,0.48,0.67,0.24,0.81,0.55,0.61,0.47,0.32,0.22,0.71,0.75
ingex.csv,0.31,0.44,0.64,0.18,0.69,0.52,0.55,0.57,0.25,0.35,0.46,0.67
jrefactory.csv,0.2,0.27,0.71,0.18,0.54,0.42,0.46,0.46,0.24,0.29,0.33,0.64
jsecurity.csv,0.36,0.56,0.47,0.37,0.75,0.51,0.59,0.47,0.43,0.33,0.75,0.69
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.7,0.51,0.37,0.28,0.24,0.38,0.79
lite.csv,0.27,0.42,0.57,0.26,0.88,0.53,0.61,0.27,0.56,0.39,0.35,0.45
mobicents.csv,0.38,0.43,0.54,0.32,0.88,0.46,0.68,0.39,0.35,0.3,0.46,0.52
opendvr.csv,0.41,0.46,0.43,0.35,0.78,0.49,0.65,0.42,0.34,0.52,0.48,0.57
openefm.csv,0.29,0.49,0.45,0.23,0.86,0.62,0.54,0.49,0.0,0.27,0.46,0.65
sidekar.csv,0.0,0.43,0.0,0.0,0.87,0.0,0.0,0.0,0.27,0.29,0.0,0.0
