,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.46,0.98,0.4,0.29
jlinalg.csv,1.0,0.84,0.73,0.84
qmmp.csv,0.74,0.68,0.59,0.97
yale.csv,0.14,0.55,0.88,0.4
