,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.21,0.02,0.24,0.06
jlinalg.csv,0.0,0.8,0.49,0.73
qmmp.csv,0.21,0.55,0.37,0.02
yale.csv,0.0,0.65,0.0,0.77
